Player,Country,Batting_Style,Bowling_Style
Mohammad Khalil,Pakistan,Left-hand bat,Left-arm medium
Mohammad Munaf,India,Right-hand bat,Right-arm fast-medium
Mohammad Nabi,Pakistan,Right-hand bat,Off-break
Mohammad Nazir,India,Right-hand bat,Off-break
Mohammad Nissar,India,Right-hand bat,Right-arm fast-medium
Mohammad Qazi,Pakistan,Right-hand bat,Right-arm medium
Mohammad Rafique,Pakistan,Left-hand bat,Slow left-arm
Mohammad Ramzan,Pakistan,Right-hand bat,Right-arm medium
Mohammad Salim,Bangladesh,Right-hand bat,
Mohammad Salman,Pakistan,Right-hand bat,Leg-break
Mohammad Sami,Pakistan,Right-hand bat,Right-arm fast
Mohammad Shahzad,Pakistan,Right-hand bat,
Mohammad Sharif,Bangladesh,Right-hand bat,Right-arm medium-fast
Mohammad Shehzad,Pakistan,Right-hand bat,Right-arm medium
Mohammad Sheikh,Kenya,Left-hand bat,Slow left-arm
Mohammad Talha,Pakistan,Right-hand bat,Right-arm fast-medium
Mohammad Tauqir,United Arab Emirates,Right-hand bat,Off-break
Mohammad Wasim,Pakistan,Right-hand bat,Leg-break googly
Mohammad Yousuf,Pakistan,Right-hand bat,Off-break
Mohammad Zahid,Pakistan,Right-hand bat,Right-arm fast-medium
Mohammed Shami,India,Right-hand bat,Right-arm fast-medium
Mohibullah Paak,Afghanistan,Right-hand bat,Right-arm medium
Mohinder Amarnath,India,Right-hand bat,Right-arm medium
Mohit Sharma,India,Right-hand bat,Right-arm fast-medium
Mohsin Kamal,Pakistan,Right-hand bat,Right-arm fast
Mohsin Khan,Pakistan,Right-hand bat,Right-arm medium
Mohsin Mulla,India,Right-hand bat,Right-arm medium
Moin Ashraf,England,Right-hand bat,Right-arm fast-medium
Moin Khan,Pakistan,Right-hand bat,Off-break
Moin-ul-Atiq,Pakistan,Right-hand bat,Leg-break
Moises Henriques,Portugal,Right-hand bat,Right-arm fast-medium
Mominul Haque,Bangladesh,Left-hand bat,Slow left-arm
Monde Zondeki,South Africa,Right-hand bat,Right-arm fast
Moneeb Iqbal,Scotland,Right-hand bat,Leg-break
Moniruzzaman,Bangladesh,Right-hand bat,
Monte Lynch,Guyana,Right-hand bat,"Right-arm medium, Off-break"
Monty Bowden,England,Right-hand bat,
Monty Noble,Australia,Right-hand bat,"Right-arm medium, Off-break"
Monty Panesar,England,Left-hand bat,Slow left-arm
Morappakam Gopalan,India,Right-hand bat,Right-arm fast-medium
Mordecai Sherwin,England,Right-hand bat,Right-arm fast
Morice Bird,England,Right-hand bat,Right-arm medium
Morne Karg,Namibia,Right-hand bat,
Morne Morkel,South Africa,Left-hand bat,Right-arm fast-medium
Morne van Wyk,South Africa,Right-hand bat,Slow left-arm
Morris Ouma,Kenya,Right-hand bat,Off-break
Morris Sievers,Australia,Right-hand bat,Right-arm fast-medium
Morshed Ali Khan,Bangladesh,Left-hand bat,Left-arm medium
Mosharraf Hossain,Bangladesh,Left-hand bat,Slow left-arm
Motganhalli Jaisimha,India,Right-hand bat,"Right-arm medium, Off-break"
MSK Prasad,India,Right-hand bat,
Mudassar Bukhari,Pakistan,Right-hand bat,Right-arm fast-medium
Mudassar Nazar,Pakistan,Right-hand bat,Right-arm medium
Mufassir-ul-Haq,India,Right-hand bat,Left-arm fast-medium
Mujahid Jamshed,Pakistan,Right-hand bat,Right-arm medium
Munaf Patel,India,Right-hand bat,Right-arm medium-fast
Munir Dar,Pakistan,Right-hand bat,Slow left-arm
Munir Malik,India,Right-hand bat,Right-arm fast-medium
Murali Kartik,India,Left-hand bat,Slow left-arm
Murali Vijay,India,Right-hand bat,Off-break
Muralidharan Gautam,India,Right-hand bat,
Murphy Su'a,New Zealand,Left-hand bat,Left-arm fast-medium
Murray Bennett,Australia,Right-hand bat,Slow left-arm
Murray Bisset,South Africa,Right-hand bat,Slow left-arm
Murray Chapple,New Zealand,Right-hand bat,Left-arm medium
Murray Goodwin,Zimbabwe,Right-hand bat,Leg-break
Murray Parker,New Zealand,Right-hand bat,
Murray Webb,New Zealand,Right-hand bat,Right-arm fast
Mushfiqur Rahim,Bangladesh,Right-hand bat,
Mushfiqur Rahman,Bangladesh,Right-hand bat,Right-arm fast-medium
Mushtaq Ahmed,Pakistan,Right-hand bat,Leg-break googly
Mushtaq Ali,India,Right-hand bat,Slow left-arm
Mushtaq Mohammad,India,Right-hand bat,Leg-break googly
Mustafizur Rahman,Bangladesh,Left-hand bat,Left-arm medium
Muthumudalige Pushpakumara,Sri Lanka,Left-hand bat,Off-break
Muttiah Muralitharan,Sri Lanka,Right-hand bat,Off-break
Nadeem Abbasi,Pakistan,Right-hand bat,
Nadeem Ahmed,Pakistan,Right-hand bat,Off-break
Nadeem Ghauri,Pakistan,Right-hand bat,Slow left-arm
Nadeem Khan,Pakistan,Right-hand bat,Slow left-arm
Nadif Chowdhury,Bangladesh,Right-hand bat,Slow left-arm
Naeem Ahmed,Pakistan,Right-hand bat,Slow left-arm
Naeem Ashraf,Pakistan,Left-hand bat,Left-arm fast-medium
Naeem Islam,Bangladesh,Right-hand bat,Off-break
Naeemuddin Aslam,United Arab Emirates,Right-hand bat,
Nafees Iqbal,Bangladesh,Right-hand bat,Right-arm medium
Naimur Rahman,Bangladesh,Right-hand bat,Off-break
Najaf Shah,Pakistan,Left-hand bat,Left-arm medium-fast
Najeeb Aamer,Pakistan,Left-hand bat,Slow left-arm
Najibullah Zadran,Afghanistan,Left-hand bat,Off-break
Naman Ojha,India,Right-hand bat,Right-arm medium-fast
Nana Joshi,India,Right-hand bat,
Nantie Hayward,South Africa,Right-hand bat,Right-arm fast
Naoomal Jaoomal,India,Right-hand bat,Leg-break
Narain Swamy,India,Right-hand bat,Right-arm fast-medium
Naren Tamhane,India,Right-hand bat,
Narendra Hirwani,India,Right-hand bat,Leg-break googly
Naresh Budayair,Nepal,Right-hand bat,Right-arm
Nari Contractor,India,Left-hand bat,Right-arm medium
Narsingh Deonarine,Guyana,Left-hand bat,Off-break
Naseer Malik,Pakistan,Right-hand bat,Right-arm medium-fast
Nasim-ul-Ghani,India,Left-hand bat,"Left-arm medium, Slow left-arm"
Nasir Ahmed,Pakistan,Right-hand bat,
Nasir Hameed,Pakistan,Right-hand bat,
Nasir Hossain,Bangladesh,Right-hand bat,Off-break
Nasir Jamshed,Pakistan,Left-hand bat,Off-break
Nasir Javed,Pakistan,Right-hand bat,Leg-break googly
Nasser Hussain,India,Right-hand bat,Leg-break
Nat Thomson,Australia,Right-hand bat,Right-arm medium roundarm
Nathan Astle,New Zealand,Right-hand bat,Right-arm medium
Nathan Bracken,Australia,Right-hand bat,Left-arm fast-medium
Nathan Coulter-Nile,Australia,Right-hand bat,Right-arm fast
Nathan Hauritz,Australia,Right-hand bat,Off-break
Nathan Lyon,Australia,Right-hand bat,Off-break
Nathan McCullum,New Zealand,Right-hand bat,Off-break
Natsai Mushangwe,Zimbabwe,Right-hand bat,Leg-break googly
Naumanullah,Pakistan,Right-hand bat,Off-break
Naushad Ali,India,Right-hand bat,
Navdeep Poonia,Scotland,Right-hand bat,Right-arm medium-fast
Naved Anjum,Pakistan,Right-hand bat,Right-arm fast-medium
Naved Ashraf,Pakistan,Right-hand bat,Off-break
Naved Latif,Pakistan,Right-hand bat,Right-arm medium
Naved-ul-Hasan,Pakistan,Right-hand bat,Right-arm fast-medium
Naveed Nawaz,Sri Lanka,Left-hand bat,Leg-break
Navin Stewart,Trinidad and Tobago,Right-hand bat,Right-arm fast-medium
Navjot Singh Sidhu,India,Right-hand bat,Right-arm medium
Nawroz Mangal,Afghanistan,Right-hand bat,Off-break
Nayan Mongia,India,Right-hand bat,
Nazar Mohammad,India,Right-hand bat,Right-arm
Nazimuddin,Bangladesh,Right-hand bat,
Nazir Ali,India,Right-hand bat,Right-arm fast-medium
Nazmul Hossain,Bangladesh,Right-hand bat,Right-arm fast-medium
Nazmus Sadat,Bangladesh,Left-hand bat,Slow left-arm
Neal Radford,Zambia,Right-hand bat,Right-arm fast-medium
Ned Gregory,Australia,Right-hand bat,Right-arm medium roundarm
Nehemiah Odhiambo,Kenya,Right-hand bat,Right-arm medium-fast
Nehemiah Perry,Jamaica,Right-hand bat,Off-break
Neil Adcock,South Africa,Right-hand bat,Right-arm fast
Neil Broom,New Zealand,Right-hand bat,Off-break
Neil Carter,South Africa,Left-hand bat,Left-arm medium-fast
Neil Fairbrother,England,Left-hand bat,Left-arm medium
Neil Ferreira,Zimbabwe,Left-hand bat,Off-break
Neil Foster,England,Right-hand bat,Right-arm fast-medium
Neil Harvey,Australia,Left-hand bat,Off-break
Neil Hawke,Australia,Right-hand bat,Right-arm medium-fast
Neil Johnson,Zimbabwe,Left-hand bat,"Right-arm fast-medium, Off-break"
Neil Kruger,South Africa,Right-hand bat,Right-arm medium
Neil MacRae,England,Right-hand bat,Leg-break
Neil Mallender,England,Right-hand bat,Right-arm fast-medium
Neil McCallum,Scotland,Right-hand bat,
Neil McGarrell,Guyana,Right-hand bat,Slow left-arm
Neil McKenzie,South Africa,Right-hand bat,Right-arm medium
Neil Smith,England,Right-hand bat,Off-break
Neil Wagner,South Africa,Left-hand bat,Left-arm medium-fast
Neil Williams,St Vincent and the Grenadines,Right-hand bat,Right-arm fast-medium
Nelon Pascal,Grenada,Right-hand bat,Right-arm fast
Nelson Betancourt,Trinidad and Tobago,Right-hand bat,
Nelson Odhiambo,Kenya,Right-hand bat,Right-arm medium
Neville Knox,England,Right-hand bat,Right-arm fast
Neville Lindsay,South Africa,Right-hand bat,
Neville Quinn,South Africa,Left-hand bat,Left-arm medium-fast
Neville Tufnell,India,Right-hand bat,Right-arm slow
Niall O'Brien,Ireland,Left-hand bat,
Niamur Rashid,Bangladesh,Right-hand bat,Right-arm medium-fast
Niaz Ahmed,India,Right-hand bat,Right-arm fast-medium
Nic Maddinson,Australia,Left-hand bat,Slow left-arm
Nic Pothas,South Africa,Right-hand bat,Right-arm medium
Nicholas de Groot,Canada,Right-hand bat,Right-arm medium
Nicholas Ifill,Barbados,Right-hand bat,Right-arm medium
Nick Beard,New Zealand,Left-hand bat,Slow left-arm
Nick Compton,South Africa,Right-hand bat,Off-break
Nick Cook,England,Right-hand bat,Slow left-arm
Nick Dyer,Scotland,Right-hand bat,Off-break
Nick Knight,England,Left-hand bat,Right-arm medium
Nick Statham,Netherlands,Right-hand bat,Off-break
Nicky Boje,South Africa,Left-hand bat,Slow left-arm
Nicolaas Theunissen,South Africa,Right-hand bat,Right-arm fast
Nicolas Pooran,Trinidad and Tobago,Left-hand bat,
Nigel Haig,England,Right-hand bat,Right-arm fast-medium
Nigel Howard,England,Right-hand bat,
Nigel Jones,New Zealand,Right-hand bat,Right-arm medium
Nik Dutta,Kuwait,Right-hand bat,Off-break
Nikhil Chopra,India,Right-hand bat,Off-break
Nikita Miller,Jamaica,Right-hand bat,Slow left-arm
Nilantha Ratnayake,Sri Lanka,Left-hand bat,Right-arm fast-medium
Nilesh Kulkarni,India,Left-hand bat,Slow left-arm
Nip Pellew,Australia,Right-hand bat,Right-arm medium
Nirode Chowdhury,India,Right-hand bat,"Right-arm medium, Off-break"
Niroshan Bandaratilleke,Sri Lanka,Right-hand bat,Slow left-arm
Nisal Fernando,Sri Lanka,Right-hand bat,Off-break
Nishantha Ranatunga,Sri Lanka,Right-hand bat,Right-arm medium-fast
Nitish Kumar,Canada,Right-hand bat,Off-break
Nixon McLean,St Vincent and the Grenadines,Left-hand bat,Right-arm fast
Nizakat Khan,Pakistan,Right-hand bat,Leg-break
Nizel Fernandes,India,Left-hand bat,Slow left-arm
Njabulo Ncube,Zimbabwe,Right-hand bat,Right-arm fast-medium
Nkruma Bonner,Jamaica,Right-hand bat,Leg-break
Nobby Clark,England,Left-hand bat,Left-arm fast
Noel David,India,Right-hand bat,Off-break
Noel Harford,New Zealand,Right-hand bat,Right-arm slow-medium
Noel McGregor,New Zealand,Right-hand bat,Slow left-arm
Nolan Clarke,Barbados,Right-hand bat,Leg-break googly
Noor Ali Zadran,Afghanistan,Right-hand bat,Right-arm medium-fast
Noor-ul-Haq,Afghanistan,Right-hand bat,Leg-break
Norbert Phillip,Dominica,Right-hand bat,Right-arm fast-medium
Norm O'Neill,Australia,Right-hand bat,"Right-arm medium, Leg-break"
Norman Cowans,Jamaica,Right-hand bat,Right-arm fast
Norman Gallichan,New Zealand,Right-hand bat,Slow left-arm
Norman Gifford,England,Left-hand bat,Slow left-arm
Norman Gordon,South Africa,Right-hand bat,Right-arm fast
Norman Marshall,Barbados,Right-hand bat,Off-break
Norman Mitchell-Innes,India,Right-hand bat,"Right-arm fast, Right-arm medium"
Norman Norton,South Africa,Right-hand bat,Right-arm medium
Norman Reid,South Africa,Right-hand bat,Right-arm
Norman Yardley,England,Right-hand bat,Right-arm medium
Nummy Deane,South Africa,Right-hand bat,
Nurul Abedin,Pakistan,Right-hand bat,Right-arm medium
Nuwan Kulasekara,Sri Lanka,Right-hand bat,Right-arm fast-medium
Nuwan Pradeep,Sri Lanka,Right-hand bat,Right-arm fast-medium
Nuwan Zoysa,Sri Lanka,Left-hand bat,Left-arm fast-medium
Nyron Asgarali,Trinidad and Tobago,Right-hand bat,Right-arm medium
Oliver Hannon-Dalby,England,Left-hand bat,Right-arm medium-fast
Oliver Pitcher,Bermuda,Right-hand bat,Right-arm medium
Ollie Hairs,England,Left-hand bat,Off-break
Omar Henry,South Africa,Left-hand bat,Slow left-arm
Omar Phillips,Barbados,Left-hand bat,Right-arm medium
Omari Banks,Anguilla,Right-hand bat,Off-break
Omer Hussain,Scotland,Left-hand bat,
Ormerod Pearse,South Africa,Right-hand bat,Right-arm medium
Oronde Bascome,Bermuda,Right-hand bat,
Oscar Da Costa,Jamaica,Right-hand bat,Right-arm medium
Ossie Dawson,South Africa,Right-hand bat,Right-arm medium
Ottis Gibson,Barbados,Right-hand bat,Right-arm fast
Otto Nothling,Australia,Right-hand bat,Right-arm fast-medium
Owais Shah,Pakistan,Right-hand bat,Off-break
Owen Dunell,South Africa,Right-hand bat,
Owen Wynne,South Africa,Right-hand bat,
Pananmal Punjabi,India,Right-hand bat,
Pankaj Dharmani,India,Right-hand bat,
Pankaj Roy,India,Right-hand bat,Right-arm medium
Pankaj Singh,India,Right-hand bat,Right-arm medium
Paras Khadka,Nepal,Right-hand bat,Right-arm medium-fast
Paras Mhambrey,India,Right-hand bat,Right-arm medium
Parbhu Nana,India,Right-hand bat,Slow left-arm
Parth Desai,India,Right-hand bat,Slow left-arm
Parthasarthy Sharma,India,Right-hand bat,Right-arm medium
Parthiv Patel,India,Left-hand bat,Off-break
Parvez Mir,Pakistan,Right-hand bat,Right-arm medium-fast
Parvez Rasool,India,Right-hand bat,Off-break
Parvinder Awana,India,Right-hand bat,Right-arm medium
Pat Crawford,Australia,Right-hand bat,Right-arm fast
Pat Cummins,Australia,Right-hand bat,Right-arm fast
Pat Pocock,Wales,Right-hand bat,Off-break
Pat Symcox,South Africa,Right-hand bat,Off-break
Pat Trimborn,South Africa,Right-hand bat,Right-arm fast-medium
Patrick Browne,Barbados,Right-hand bat,
Patrick Patterson,Jamaica,Right-hand bat,Right-arm fast
Patsy Hendren,England,Right-hand bat,Right-arm slow
Patterson Thompson,Barbados,Right-hand bat,Right-arm fast-medium
Paul Adams,South Africa,Right-hand bat,Chinaman
Paul Allott,England,Right-hand bat,Right-arm fast-medium
Paul Barton,New Zealand,Right-hand bat,Left-arm slow-medium
Paul Collingwood,England,Right-hand bat,Right-arm medium
Paul Downton,England,Right-hand bat,Off-break
Paul Franks,England,Left-hand bat,Right-arm fast-medium
Paul Gibb,England,Right-hand bat,
Paul Grayson,England,Right-hand bat,Slow left-arm
Paul Harris,Zimbabwe,Right-hand bat,Slow left-arm
Paul Hibbert,Australia,Left-hand bat,Left-arm medium
Paul Hitchcock,New Zealand,Right-hand bat,Right-arm medium
Paul Hoffmann,Australia,Right-hand bat,Right-arm medium-fast
Paul Jarvis,England,Right-hand bat,Right-arm fast-medium
Paul McEwan,New Zealand,Right-hand bat,Right-arm medium
Paul Mooney,Ireland,Right-hand bat,Right-arm medium
Paul Nixon,England,Left-hand bat,
Paul Parker,Zimbabwe,Right-hand bat,"Right-arm medium, Leg-break"
Paul Reiffel,Australia,Right-hand bat,Right-arm fast-medium
Paul Sheahan,Australia,Right-hand bat,
Paul Stirling,Ireland,Right-hand bat,Off-break
Paul Strang,Zimbabwe,Right-hand bat,Leg-break googly
Paul Taylor,England,Left-hand bat,Left-arm fast-medium
Paul Terry,Germany,Right-hand bat,Right-arm medium
Paul van Meekeren,Netherlands,Right-hand bat,Right-arm medium
Paul Whitelaw,New Zealand,Right-hand bat,
Paul Wilson,Australia,Right-hand bat,Right-arm fast-medium
Paul Winslow,South Africa,Right-hand bat,Leg-break
Paul Wintz,Guyana,Right-hand bat,Right-arm fast-medium
Paul Wiseman,New Zealand,Right-hand bat,Off-break
Pedro Collins,Barbados,Right-hand bat,Left-arm fast-medium
Percie Charlton,Australia,Right-hand bat,Right-arm fast-medium
Percy Chapman,England,Left-hand bat,"Slow left-arm, Left-arm medium"
Percy Fender,England,Right-hand bat,"Right-arm medium, Leg-break"
Percy Holmes,England,Right-hand bat,Right-arm medium
Percy Hornibrook,Australia,Left-hand bat,"Left-arm medium, Slow left-arm"
Percy Mansell,England,Right-hand bat,"Leg-break, Right-arm medium"
Percy Marr,Australia,Right-hand bat,Right-arm medium
Percy McAlister,Australia,Right-hand bat,
Percy McDonnell,England,Right-hand bat,
Percy Sherwell,South Africa,Right-hand bat,
Percy Twentyman-Jones,South Africa,Right-hand bat,
Pervez Sajjad,India,Right-hand bat,Slow left-arm
Pete Rinke,Zimbabwe,Right-hand bat,Right-arm fast-medium
Pete Trego,England,Right-hand bat,Right-arm medium
Peter Allan,Australia,Right-hand bat,Right-arm fast-medium
Peter Borren,New Zealand,Right-hand bat,Right-arm medium
Peter Burge,Australia,Right-hand bat,Right-arm medium
Peter Cantrell,Australia,Right-hand bat,Off-break
Peter Carlstein,South Africa,Right-hand bat,Leg-break
Peter Coman,New Zealand,Right-hand bat,
Peter Connell,New Zealand,Right-hand bat,Right-arm medium-fast
Peter Forrest,Australia,Right-hand bat,Right-arm medium
Peter Fulton,New Zealand,Right-hand bat,Right-arm medium
Peter George,Australia,Right-hand bat,Right-arm fast-medium
Peter Gillespie,Ireland,Right-hand bat,Right-arm medium
Peter Heine,South Africa,Right-hand bat,Right-arm fast
Peter Ingram,New Zealand,Right-hand bat,Off-break
Peter Kirsten,South Africa,Right-hand bat,Off-break
Peter Lashley,Barbados,Left-hand bat,Right-arm medium
Peter Lever,England,Right-hand bat,Right-arm fast-medium
Peter Loader,England,Right-hand bat,Right-arm fast
Peter Martin,England,Right-hand bat,Right-arm fast-medium
Peter May,England,Right-hand bat,
Peter McGlashan,New Zealand,Right-hand bat,
Peter McIntyre,Australia,Right-hand bat,Leg-break googly
Peter Ongondo,Kenya,Right-hand bat,Right-arm fast-medium
Peter Parfitt,England,Left-hand bat,Off-break
Peter Petherick,New Zealand,Right-hand bat,Off-break
Peter Philpott,Australia,Right-hand bat,Leg-break googly
Peter Pollock,South Africa,Right-hand bat,Right-arm fast
Peter Rawson,Zimbabwe,Right-hand bat,Right-arm fast-medium
Peter Richardson,England,Left-hand bat,Off-break
Peter Siddle,Australia,Right-hand bat,Right-arm fast-medium
Peter Sleep,Australia,Right-hand bat,Leg-break googly
Peter Smith,England,Right-hand bat,Leg-break googly
Peter Such,Scotland,Right-hand bat,Off-break
Peter Taylor,Australia,Left-hand bat,Off-break
Peter Toohey,Australia,Right-hand bat,
Peter Truscott,New Zealand,Right-hand bat,
Peter van der Merwe,South Africa,Right-hand bat,Slow left-arm
Peter Walker,England,Right-hand bat,"Left-arm medium, Slow left-arm"
Peter Webb,New Zealand,Right-hand bat,
Peter Willey,England,Right-hand bat,Off-break
Phil Carlson,Australia,Right-hand bat,Right-arm medium
Phil DeFreitas,Dominica,Right-hand bat,Right-arm fast-medium
Phil Edmonds,Zambia,Right-hand bat,Slow left-arm
Phil Emery,Australia,Left-hand bat,
Phil Horne,New Zealand,Left-hand bat,
Phil Jaques,Australia,Left-hand bat,Chinaman
Phil Lee,Australia,Right-hand bat,"Right-arm medium, Off-break"
Phil Mead,England,Left-hand bat,Slow left-arm
Phil Newport,England,Right-hand bat,Right-arm fast-medium
Phil Simmons,Trinidad and Tobago,Right-hand bat,Right-arm medium
Phil Tufnell,England,Right-hand bat,Slow left-arm
Philip Eaglestone,England,Left-hand bat,Left-arm fast-medium
Philip Hands,South Africa,Right-hand bat,Right-arm
Philip Hutchinson,England,Right-hand bat,
Philip Mustard,England,Left-hand bat,Leg-break googly
Philip Sharpe,England,Right-hand bat,Off-break
Phillip Hughes,Australia,Left-hand bat,Off-break
Philo Wallace,Barbados,Right-hand bat,Right-arm medium
Phiroze Palia,India,Left-hand bat,Slow left-arm
Pieteer Seelaar,Netherlands,Right-hand bat,Slow left-arm
Pieter Strydom,South Africa,Right-hand bat,Slow left-arm
Pieter van der Bijl,South Africa,Right-hand bat,
Piyal Wijetunge,Sri Lanka,Right-hand bat,Slow left-arm
Piyush Chawla,India,Left-hand bat,Leg-break googly
PJ Bakker,Netherlands,Right-hand bat,Right-arm medium-fast
